date,hebrew_date,sunrise_time
2025-09-21,כ״ח אלול התשפ״ה,6:26:39
2025-09-22,כ״ט אלול התשפ״ה,6:27:17
2025-09-23,א׳ תשרי התשפ״ו,6:27:50
2025-09-24,ג׳ תשרי התשפ״ו,17:55:59
2025-09-26,ד׳ תשרי התשפ״ו,6:29:32
2025-09-27,ה׳ תשרי התשפ״ו,6:30:04
2025-09-28,ו׳ תשרי התשפ״ו,6:30:38
2025-09-29,ז׳ תשרי התשפ״ו,6:31:16
2025-09-30,ח׳ תשרי התשפ״ו,6:31:59
2025-10-01,ט׳ תשרי התשפ״ו,6:32:29
2025-10-02,י׳ תשרי התשפ״ו,6:33:09
2025-10-03,י״א תשרי התשפ״ו,6:33:51
2025-10-04,י״ב תשרי התשפ״ו,6:34:29
2025-10-05,י״ג תשרי התשפ״ו,6:35:10
2025-10-06,י״ד תשרי התשפ״ו,6:35:48
2025-10-07,ט״ו תשרי התשפ״ו,6:36:26
2025-10-08,ט״ז תשרי התשפ״ו,6:37:11
2025-10-09,י״ז תשרי התשפ״ו,6:37:55
2025-10-10,י״ח תשרי התשפ״ו,6:38:37
2025-10-11,י״ט תשרי התשפ״ו,6:39:15
2025-10-12,כ׳ תשרי התשפ״ו,6:39:58
2025-10-13,כ״א תשרי התשפ״ו,6:40:41
2025-10-14,כ״ב תשרי התשפ״ו,6:41:27
2025-10-15,כ״ג תשרי התשפ״ו,6:42:06
2025-10-16,כ״ד תשרי התשפ״ו,6:42:53
2025-10-17,כ״ה תשרי התשפ״ו,6:43:39
2025-10-18,כ״ו תשרי התשפ״ו,6:44:22
2025-10-19,כ״ז תשרי התשפ״ו,6:45:06
2025-10-20,כ״ח תשרי התשפ״ו,6:45:48
2025-10-21,כ״ט תשרי התשפ״ו,6:46:36
2025-10-22,ל׳ תשרי התשפ״ו,6:47:22
2025-10-23,א׳ מרחשון התשפ״ו,6:48:09
2025-10-24,ב׳ מרחשון התשפ״ו,6:48:54
2025-10-25,ג׳ מרחשון התשפ״ו,6:49:44
2025-10-26,ד׳ מרחשון התשפ״ו,5:50:33
2025-10-27,ה׳ מרחשון התשפ״ו,5:51:18
2025-10-28,ו׳ מרחשון התשפ״ו,5:52:05
2025-10-29,ז׳ מרחשון התשפ״ו,5:52:53
2025-10-30,ח׳ מרחשון התשפ״ו,5:53:40
2025-10-31,ט׳ מרחשון התשפ״ו,5:54:23
2025-11-01,י׳ מרחשון התשפ״ו,5:55:03
2025-11-02,י״א מרחשון התשפ״ו,5:55:51
2025-11-03,י״ב מרחשון התשפ״ו,5:56:35
2025-11-04,י״ג מרחשון התשפ״ו,5:57:14
2025-11-05,י״ד מרחשון התשפ״ו,5:58:06
2025-11-06,ט״ו מרחשון התשפ״ו,5:58:52
2025-11-07,ט״ז מרחשון התשפ״ו,5:59:39
2025-11-08,י״ז מרחשון התשפ״ו,6:00:27
2025-11-09,י״ח מרחשון התשפ״ו,6:01:09
2025-11-10,י״ט מרחשון התשפ״ו,6:02:00
2025-11-11,כ׳ מרחשון התשפ״ו,6:02:45
2025-11-12,כ״א מרחשון התשפ״ו,6:03:45
2025-11-13,כ״ב מרחשון התשפ״ו,6:04:44
2025-11-14,כ״ג מרחשון התשפ״ו,6:05:30
2025-11-15,כ״ד מרחשון התשפ״ו,6:06:18
2025-11-16,כ״ה מרחשון התשפ״ו,6:07:17
